,id,ticker,title,link,topic,published_est,market,begin_price,end_price,index_begin_price,index_end_price,daily_return,index_return,daily_alpha,actual_action,predicted_action,confidence
10,12,ACIU,AC Immune to Present at the SVB Securities Global Biopharma Conference,https://www.globenewswire.com/news-release/2023/02/02/2600439/0/en/AC-Immune-to-Present-at-the-SVB-Securities-Global-Biopharma-Conference.html,Calendar of Events,2/2/2023 8:15,pre_market,2.49000001,2.450000048,410.7999878,414.8599854,-0.016064242,0.009883149,-0.025947391,short,short,
11,15,ACIU,AC Immune Reports Second Quarter 2023 Financial Results and Provides a Corporate Update,https://www.globenewswire.com/news-release/2023/08/04/2718852/0/en/AC-Immune-Reports-Second-Quarter-2023-Financial-Results-and-Provides-a-Corporate-Update.html,Clinical Study,8/4/2023 7:00,pre_market,2.890000105,3.089999914,448.8399963,450.7200012,0.069204084,0.004188586,0.065015498,long,short,
12,16,ACIU,AC Immune to Present at the Jefferies 2023 CNS & Neuro Summit in October 2023,https://www.globenewswire.com/news-release/2023/10/05/2755226/0/en/AC-Immune-to-Present-at-the-Jefferies-2023-CNS-Neuro-Summit-in-October-2023.html,Calendar of Events,10/5/2023 7:00,pre_market,2.619999886,2.650000095,424.6600037,424.3599854,0.011450462,-0.000706491,0.012156953,long,long,
13,17,ACIU,AC Immune’s Alzheimer’s Disease Vaccine-candidate ACI-35.030 Selected for Further Development,https://www.globenewswire.com/news-release/2022/11/30/2564787/0/en/AC-Immune-s-Alzheimer-s-Disease-Vaccine-candidate-ACI-35-030-Selected-for-Further-Development.html,Clinical Study,11/30/2022 7:00,pre_market,2.619999886,2.859999895,395.230011,395.4899902,0.091603061,0.000657792,0.090945269,long,long,
14,18,ACIU,"AC Immune Receives FDA Fast Track Designation for Anti-Amyloid-beta Active Immunotherapy, ACI-24.060, to Treat Alzheimer’s Disease",https://www.globenewswire.com/news-release/2023/06/27/2695157/0/en/AC-Immune-Receives-FDA-Fast-Track-Designation-for-Anti-Amyloid-beta-Active-Immunotherapy-ACI-24-060-to-Treat-Alzheimer-s-Disease.html,Clinical Study,6/27/2023 7:00,pre_market,1.980000019,2.210000038,431.4400024,432.3500061,0.116161625,0.002109224,0.114052401,long,long,
15,29,ADAG,Adagene Achieves $3 Million Milestone in Collaboration with Exelixis for Successful Nomination of Second SAFEbody® Novel Masked Antibody-Drug Conjugate,https://www.globenewswire.com/news-release/2023/05/04/2661611/0/en/Adagene-Achieves-3-Million-Milestone-in-Collaboration-with-Exelixis-for-Successful-Nomination-of-Second-SAFEbody-Novel-Masked-Antibody-Drug-Conjugate.html,Product / Services Announcement,5/4/2023 9:00,pre_market,1.299999952,1.299999952,408.019989,406.9299927,0,-0.002671429,0.002671429,long,long,
16,21,ACIU,"AC Immune to Report Full Year 2022 Financial Results and Provide Corporate Update on March 16, 2023",https://www.globenewswire.com/news-release/2023/03/08/2622870/0/en/AC-Immune-to-Report-Full-Year-2022-Financial-Results-and-Provide-Corporate-Update-on-March-16-2023.html,Calendar of Events,3/8/2023 7:00,pre_market,2.420000076,2.410000086,398.269989,398.3900146,-0.004132227,0.000301368,-0.004433595,short,short,
17,30,ADAG,Adagene Presents Data Demonstrating the Best-in-Class Therapeutic Index for Masked Anti-CTLA-4 SAFEbody® ADG126 at SITC 2023,https://www.globenewswire.com/news-release/2023/11/03/2773331/0/en/Adagene-Presents-Data-Demonstrating-the-Best-in-Class-Therapeutic-Index-for-Masked-Anti-CTLA-4-SAFEbody-ADG126-at-SITC-2023.html,Product / Services Announcement,11/3/2023 12:00,market_open,1.330000043,1.350000024,433.1400146,434.6900024,0.015037579,0.003578491,0.011459088,long,long,
18,19,ACIU,AC Immune Reports Full Year 2022 Financial Results and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/03/16/2628465/0/en/AC-Immune-Reports-Full-Year-2022-Financial-Results-and-Provides-Corporate-Update.html,Earnings Releases and Operating Results,3/16/2023 7:00,pre_market,2.299999952,2.299999952,389.2799988,386.8200073,0,-0.006319337,0.006319337,long,long,
19,34,ADAG,Adagene Announces Updates to its Board of Directors,https://www.globenewswire.com/news-release/2023/04/28/2657314/0/en/Adagene-Announces-Updates-to-its-Board-of-Directors.html,Directors and Officers,4/28/2023 7:00,pre_market,1.289999962,1.289999962,412.4100037,411.4899902,0,-0.002230822,0.002230822,long,long,
20,32,ADAG,天演药业将在第38届SITC年会上以海报形式公布其精准掩蔽型抗CTLA-4安全抗体SAFEbody® ADG126剂量优化试验结果,https://www.globenewswire.com/news-release/2023/10/12/2759195/0/zh-hans/%E5%A4%A9%E6%BC%94%E8%8D%AF%E4%B8%9A%E5%B0%86%E5%9C%A8%E7%AC%AC38%E5%B1%8ASITC%E5%B9%B4%E4%BC%9A%E4%B8%8A%E4%BB%A5%E6%B5%B7%E6%8A%A5%E5%BD%A2%E5%BC%8F%E5%85%AC%E5%B8%83%E5%85%B6%E7%B2%BE%E5%87%86%E6%8E%A9%E8%94%BD%E5%9E%8B%E6%8A%97CTLA-4%E5%AE%89%E5%85%A8%E6%8A%97%E4%BD%93SAFEbody-ADG126%E5%89%82%E9%87%8F%E4%BC%98%E5%8C%96%E8%AF%95%E9%AA%8C%E7%BB%93%E6%9E%9C.html,Calendar of Events,10/12/2023 8:00,pre_market,1.49000001,1.539999962,436.3200073,436.9500122,0.033557015,0.001443906,0.032113109,long,long,
21,33,ADAG,Adagene to Present at Investor and Scientific Conferences in September,https://www.globenewswire.com/news-release/2023/09/07/2739093/0/en/Adagene-to-Present-at-Investor-and-Scientific-Conferences-in-September.html,Conference Calls/ Webcasts,9/7/2023 6:00,pre_market,1.355000019,1.299999952,446.2200012,443.1099854,-0.040590455,-0.006969692,-0.033620763,short,short,
22,31,ADAG,Adagene Announces Clinical Trial Collaboration to Evaluate Anti-CTLA-4 SAFEbody® ADG126 in Combination with Roche’s Standard-of-Care for First-Line Advanced Liver Cancer,https://www.globenewswire.com/news-release/2022/12/16/2575333/0/en/Adagene-Announces-Clinical-Trial-Collaboration-to-Evaluate-Anti-CTLA-4-SAFEbody-ADG126-in-Combination-with-Roche-s-Standard-of-Care-for-First-Line-Advanced-Liver-Cancer.html,Health,12/16/2022 6:30,pre_market,1.320000053,1.399999976,389.6300049,385.1799927,0.060606,-0.011421123,0.072027123,long,long,
23,20,ACIU,AC Immune to Present Progress of Alzheimer’s Disease Programs targeting Abeta and Tau at the 15th CTAD Conference,https://www.globenewswire.com/news-release/2022/11/23/2561536/0/en/AC-Immune-to-Present-Progress-of-Alzheimer-s-Disease-Programs-targeting-Abeta-and-Tau-at-the-15th-CTAD-Conference.html,Clinical Study,11/23/2022 7:30,pre_market,2.700000048,2.75,399.8999939,399.5499878,0.018518501,-0.000875234,0.019393735,long,short,
24,51,ADXN,Addex Announces Participation in the H.C. Wainwright 25th Annual Global Investment Conference,https://www.globenewswire.com/news-release/2023/09/06/2737990/0/en/Addex-Announces-Participation-in-the-H-C-Wainwright-25th-Annual-Global-Investment-Conference.html,European Regulatory News,9/6/2023 1:00,no_market,,,,,,,,,long,
25,22,ACIU,AC Immune to Present at the Jefferies 2023 London Healthcare Conference,https://www.globenewswire.com/news-release/2023/11/07/2774887/0/en/AC-Immune-to-Present-at-the-Jefferies-2023-London-Healthcare-Conference.html,Calendar of Events,11/7/2023 7:00,pre_market,2.690000057,2.664999962,435.6900024,435.6900024,-0.009293716,0,-0.009293716,short,short,
26,23,ACIU,AC Immune Progress Update on Phase 2 Active Immunotherapy Clinical Pipeline for Alzheimer's and Parkinson diseases,https://www.globenewswire.com/news-release/2024/01/03/2803284/0/en/AC-Immune-Progress-Update-on-Phase-2-Active-Immunotherapy-Clinical-Pipeline-for-Alzheimer-s-and-Parkinson-diseases.html,Clinical Study,1/3/2024 8:10,pre_market,4.690000057,4.650000095,472.6499939,470.4299927,-0.008528776,-0.004696924,-0.003831852,short,short,
27,24,ACIU,AC Immune to Regain Global Rights to Crenezumab and Semorinemab,https://www.globenewswire.com/news-release/2024/01/22/2812913/0/en/AC-Immune-to-Regain-Global-Rights-to-Crenezumab-and-Semorinemab.html,Licensing Agreements,1/22/2024 7:00,pre_market,4.150000095,4.150000095,482.4299927,484.0100098,0,0.003275122,-0.003275122,short,short,
28,25,ACIU,AC Immune Announces Pricing of Underwritten Offering of Common Shares,https://www.globenewswire.com/news-release/2023/12/15/2797008/0/en/AC-Immune-Announces-Pricing-of-Underwritten-Offering-of-Common-Shares.html,Financing Agreements,12/15/2023 7:56,pre_market,3.710000038,3.650000095,472.0100098,469.4899902,-0.016172491,-0.005338911,-0.01083358,short,short,
29,26,ACIU,"AC Immune Strengthens Management, Appoints Madiha Derouazi as CSO and Christopher Roberts as CFO",https://www.globenewswire.com/news-release/2023/12/01/2789221/0/en/AC-Immune-Strengthens-Management-Appoints-Madiha-Derouazi-as-CSO-and-Christopher-Roberts-as-CFO.html,Management Changes,12/1/2023 7:00,pre_market,3.309999943,3.279999971,456.3999939,455.769989,-0.009063436,-0.001380379,-0.007683057,short,short,
30,27,ACIU,AC Immune’s Targeted Anti-pTau Active Immunotherapy for Alzheimer’s Disease Advances into Phase 2b Trial,https://www.globenewswire.com/news-release/2023/12/15/2796982/0/en/AC-Immune-s-Targeted-Anti-pTau-Active-Immunotherapy-for-Alzheimer-s-Disease-Advances-into-Phase-2b-Trial.html,Financing Agreements,12/15/2023 7:22,pre_market,3.710000038,3.650000095,472.0100098,469.4899902,-0.016172491,-0.005338911,-0.01083358,short,short,
31,37,ADAG,Adagene Announces Interim Data Demonstrating Safety and Confirmed Clinical Responses of Anti-CTLA-4 SAFEbody® ADG126 up to 10 mg/kg with Repeat Cycles in Combination with Anti-PD-1 Therapy from Dose Escalation Portion of Phase 1b/2 Trial,https://www.globenewswire.com/news-release/2023/01/09/2585049/0/en/Adagene-Announces-Interim-Data-Demonstrating-Safety-and-Confirmed-Clinical-Responses-of-Anti-CTLA-4-SAFEbody-ADG126-up-to-10-mg-kg-with-Repeat-Cycles-in-Combination-with-Anti-PD-1-.html,Clinical Study,1/9/2023 7:00,pre_market,1.600000024,1.639999986,388.0799866,390.3699951,0.024999976,0.005900867,0.019099108,long,long,
32,38,ADAG,Adagene Reports Six Month Financial Results for 2023 and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/08/31/2735151/0/en/Adagene-Reports-Six-Month-Financial-Results-for-2023-and-Provides-Corporate-Update.html,Earnings Releases and Operating Results,8/31/2023 7:32,pre_market,1.179999948,1.190000057,451.0100098,451.6499939,0.00847467,0.001419002,0.007055668,long,long,
33,48,ADTX,"Aditxt, Inc. to Present at 8th Annual Dawson James Conference",https://www.globenewswire.com/news-release/2023/10/06/2756039/0/en/Aditxt-Inc-to-Present-at-8th-Annual-Dawson-James-Conference.html,Advisory,10/6/2023 8:00,pre_market,11.77999973,11.5,424.5,421.9700012,-0.023769078,-0.00595995,-0.017809128,short,short,
34,41,ADPT,Adaptive Biotechnologies Highlights New Data at ASCO 2023 and EHA 2023 Underscoring the clonoSEQ® Assay’s Impact as a Standard for Minimal Residual Disease Assessment in Patients with Hematologic Cancer,https://www.globenewswire.com/news-release/2023/06/02/2681086/0/en/Adaptive-Biotechnologies-Highlights-New-Data-at-ASCO-2023-and-EHA-2023-Underscoring-the-clonoSEQ-Assay-s-Impact-as-a-Standard-for-Minimal-Residual-Disease-Assessment-in-Patients-wi.html,Clinical Study,6/2/2023 7:34,pre_market,7.050000191,7.159999847,421.8200073,424.5,0.015602788,0.006353403,0.009249384,long,long,
35,39,ADAG,Adagene To Present Interim Results of Masked anti-CTLA-4 SAFEbody® ADG126 (muzastotug) in Combination with Pembrolizumab in MSS CRC at ASCO-GI Symposium,https://www.globenewswire.com/news-release/2024/01/04/2803770/0/en/Adagene-To-Present-Interim-Results-of-Masked-anti-CTLA-4-SAFEbody-ADG126-muzastotug-in-Combination-with-Pembrolizumab-in-MSS-CRC-at-ASCO-GI-Symposium.html,Health,1/4/2024 5:00,pre_market,2.125,2.180000067,468.7900085,468.2999878,0.025882384,-0.001045288,0.026927673,long,long,
36,42,ADPT,Adaptive Biotechnologies Announces FDA Acceptance of Genentech’s Investigational New Drug Application for the First Neoantigen-Directed T-Cell Therapy Product in Oncology,https://www.globenewswire.com/news-release/2023/05/09/2664318/0/en/Adaptive-Biotechnologies-Announces-FDA-Acceptance-of-Genentech-s-Investigational-New-Drug-Application-for-the-First-Neoantigen-Directed-T-Cell-Therapy-Product-in-Oncology.html,Health,5/9/2023 7:30,pre_market,6.599999905,6.650000095,412.7399902,411.1300049,0.007575787,-0.003900725,0.011476512,long,long,
37,43,ADPT,Adaptive Biotechnologies Announces New Translational Collaboration to Measure Minimal Residual Disease with clonoSEQ® Assay Across BeiGene’s Lymphoid Malignancy Pipeline,https://www.globenewswire.com/news-release/2023/11/07/2774988/0/en/Adaptive-Biotechnologies-Announces-New-Translational-Collaboration-to-Measure-Minimal-Residual-Disease-with-clonoSEQ-Assay-Across-BeiGene-s-Lymphoid-Malignancy-Pipeline.html,Clinical Study,11/7/2023 7:30,pre_market,4.800000191,4.75,435.6900024,435.6900024,-0.010416706,0,-0.010416706,short,short,
38,44,ADPT,Adaptive Biotechnologies and Collaborators to Present More than 30 Abstracts Demonstrating the Actionability of clonoSEQ® MRD Testing in Blood Cancer Patient Care and Drug Development at the 65th ASH Annual Meeting,https://www.globenewswire.com/news-release/2023/12/05/2790810/0/en/Adaptive-Biotechnologies-and-Collaborators-to-Present-More-than-30-Abstracts-Demonstrating-the-Actionability-of-clonoSEQ-MRD-Testing-in-Blood-Cancer-Patient-Care-and-Drug-Developme.html,Clinical Study,12/5/2023 7:30,pre_market,4.760000229,4.739999771,456.6900024,455.2600098,-0.004201777,-0.003131211,-0.001070566,short,long,
39,45,ADPT,Adaptive Announces Launch of Epic Integration for clonoSEQ®,https://www.globenewswire.com/news-release/2023/09/13/2742380/0/en/Adaptive-Announces-Launch-of-Epic-Integration-for-clonoSEQ.html,Product / Services Announcement,9/13/2023 7:30,pre_market,6.670000076,6.690000057,445.9899902,446.2200012,0.002998498,0.000515731,0.002482767,long,long,
40,40,ADAG,"Adagene Announces Progress and Expansion of Clinical Collaboration Program for Masked, Anti-CTLA-4 SAFEbody® ADG126 (muzastotug) in Combination with KEYTRUDA® (pembrolizumab) to Demonstrate Further Efficacy in Patients with Metastatic Microsatellite-stable (MSS) Colorectal Cancer (CRC)",https://www.globenewswire.com/news-release/2024/02/09/2826677/0/en/Adagene-Announces-Progress-and-Expansion-of-Clinical-Collaboration-Program-for-Masked-Anti-CTLA-4-SAFEbody-ADG126-muzastotug-in-Combination-with-KEYTRUDA-pembrolizumab-to-Demonstra.html,Product / Services Announcement,2/9/2024 6:00,pre_market,3.5,3.450000048,498.3200073,498.8399963,-0.014285701,0.001043484,-0.015329185,short,short,
41,46,ADPT,Adaptive Biotechnologies to Participate in the 2023 RBC Capital Markets Global Healthcare Conference,https://www.globenewswire.com/news-release/2023/05/12/2667757/0/en/Adaptive-Biotechnologies-to-Participate-in-the-2023-RBC-Capital-Markets-Global-Healthcare-Conference.html,Calendar of Events,5/12/2023 8:00,pre_market,6.789999962,6.809999943,412.1300049,413.4200134,0.002945505,0.003130101,-0.000184596,short,short,
42,47,ADPT,Adaptive Biotechnologies Announces Translational Collaboration with Takeda to Measure Minimal Residual Disease with Its clonoSEQ® Assay Across Its Hematologic Malignancy Pipeline,https://www.globenewswire.com/news-release/2023/04/12/2645230/0/en/Adaptive-Biotechnologies-Announces-Translational-Collaboration-with-Takeda-to-Measure-Minimal-Residual-Disease-with-Its-clonoSEQ-Assay-Across-Its-Hematologic-Malignancy-Pipeline.html,Partnerships,4/12/2023 7:30,pre_market,8.170000076,8.369999886,409.7200012,411.8699951,0.024479781,0.005247471,0.019232309,long,long,
43,54,ADXN,Addex GABAB Positive Allosteric Modulator Program to Receive Additional CHF2.7 Million from Indivior in Extended Substance Use Disorder Research Collaboration,https://www.globenewswire.com/news-release/2023/08/03/2717597/0/en/Addex-GABAB-Positive-Allosteric-Modulator-Program-to-Receive-Additional-CHF2-7-Million-from-Indivior-in-Extended-Substance-Use-Disorder-Research-Collaboration.html,European Regulatory News,8/3/2023 1:00,overnight,,,,,,,,,long,
44,74,ADXN,Addex Increases Issued Share Capital to Create Treasury Shares,https://www.globenewswire.com/news-release/2023/06/15/2688579/0/en/Addex-Increases-Issued-Share-Capital-to-Create-Treasury-Shares.html,European Regulatory News,6/15/2023 1:00,no_market,,,,,,,,,long,
45,66,ADXN,Addex’s Dipraglurant Development in Post-Stroke Recovery Supported by Data Published in Brain,https://www.globenewswire.com/news-release/2023/09/04/2736453/0/en/Addex-s-Dipraglurant-Development-in-Post-Stroke-Recovery-Supported-by-Data-Published-in-Brain.html,European Regulatory News,9/4/2023 1:00,overnight,,,,,,,,,long,
46,73,ADXN,Addex ADX71149 Epilepsy Phase 2 Study Completes Recruitment of Patients,https://www.globenewswire.com/news-release/2023/11/14/2779698/0/en/Addex-ADX71149-Epilepsy-Phase-2-Study-Completes-Recruitment-of-Patients.html,European Regulatory News,11/14/2023 1:00,overnight,,,,,,,,,long,
47,53,ADXN,Addex Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency,https://www.globenewswire.com/news-release/2023/05/18/2671600/0/en/Addex-Receives-Nasdaq-Notification-Regarding-Minimum-Bid-Price-Deficiency.html,European Regulatory News,5/18/2023 1:00,overnight,,,,,,,,,long,
48,56,ADXN,Addex Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency,https://www.globenewswire.com/news-release/2023/05/18/2671600/0/en/Addex-Receives-Nasdaq-Notification-Regarding-Minimum-Bid-Price-Deficiency.html,European Regulatory News,5/18/2023 1:00,no_market,,,,,,,,,long,
49,72,ADXN,Addex Regains Nasdaq Listing Compliance,https://www.globenewswire.com/news-release/2023/11/08/2775790/0/en/Addex-Regains-Nasdaq-Listing-Compliance.html,European Regulatory News,11/8/2023 1:00,no_market,,,,,,,,,long,
50,59,ADXN,Addex Convenes Annual General Meeting 2023,https://www.globenewswire.com/news-release/2023/05/05/2662258/0/en/Addex-Convenes-Annual-General-Meeting-2023.html,European Regulatory News,5/5/2023 1:00,no_market,,,,,,,,,short,
51,62,ADXN,Addex Announces ADX71149 Phase 2 Epilepsy Clinical Study’s Independent Interim Review Committee Recommends Continuing Study,https://www.globenewswire.com/news-release/2023/05/10/2665174/0/en/Addex-Announces-ADX71149-Phase-2-Epilepsy-Clinical-Study-s-Independent-Interim-Review-Committee-Recommends-Continuing-Study.html,European Regulatory News,5/10/2023 1:00,no_market,,,,,,,,,long,
52,63,ADXN,Addex Reports Full Year 2022 Financial Results and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/03/30/2637303/0/en/Addex-Reports-Full-Year-2022-Financial-Results-and-Provides-Corporate-Update.html,European Regulatory News,3/30/2023 1:00,no_market,,,,,,,,,long,
53,64,ADXN,Addex Completes $5.0 Million Equity Financing,https://www.globenewswire.com/news-release/2023/04/05/2641327/0/en/Addex-Completes-5-0-Million-Equity-Financing.html,European Regulatory News,4/5/2023 1:00,no_market,,,,,,,,,long,
54,67,ADXN,Addex mGlu2PAM Demonstrates Potential in Substance Use Disorder,https://www.globenewswire.com/news-release/2023/07/24/2709220/0/en/Addex-mGlu2PAM-Demonstrates-Potential-in-Substance-Use-Disorder.html,European Regulatory News,7/24/2023 1:00,no_market,,,,,,,,,long,
55,60,ADXN,Addex Announces Participation in the Bio-Europe 2023 Conference,https://www.globenewswire.com/news-release/2023/11/02/2771873/0/en/Addex-Announces-Participation-in-the-Bio-Europe-2023-Conference.html,European Regulatory News,11/2/2023 2:00,overnight,,,,,,,,,long,
56,57,ADXN,Addex Shareholders Approve All Resolutions at Annual General Meeting,https://www.globenewswire.com/news-release/2023/06/01/2679938/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Annual-General-Meeting.html,European Regulatory News,6/1/2023 1:00,no_market,,,,,,,,,short,
57,68,ADXN,Addex Shareholders Approve All Resolutions at Annual General Meeting,https://www.globenewswire.com/news-release/2023/06/01/2679938/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Annual-General-Meeting.html,European Regulatory News,6/1/2023 1:00,overnight,,,,,,,,,short,
58,71,ADXN,Addex Reports Q3 2023 Financial Results and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/11/29/2787467/0/en/Addex-Reports-Q3-2023-Financial-Results-and-Provides-Corporate-Update.html,European Regulatory News,11/29/2023 1:00,overnight,,,,,,,,,long,
59,70,ADXN,Addex Reports 2023 Half Year and Second Quarter Financial Results and Provides Corporate Update,https://www.globenewswire.com/news-release/2023/08/10/2722288/0/en/Addex-Reports-2023-Half-Year-and-Second-Quarter-Financial-Results-and-Provides-Corporate-Update.html,European Regulatory News,8/10/2023 1:00,overnight,,,,,,,,,long,
60,225,ANAB,AnaptysBio Announces Stock Repurchase Plan,https://www.globenewswire.com/news-release/2023/01/13/2588623/0/en/AnaptysBio-Announces-Stock-Repurchase-Plan.html,Stock Market News,1/13/2023 9:00,pre_market,23.06999969,24.01000023,396.9599915,393.6199951,0.040745581,-0.008413937,0.049159518,long,short,
61,65,ADXN,Addex ADX71149 Phase 2 Epilepsy Study Expected to Readout Data in  Q2 2024,https://www.globenewswire.com/news-release/2023/09/05/2736936/0/en/Addex-ADX71149-Phase-2-Epilepsy-Study-Expected-to-Readout-Data-in-Q2-2024.html,European Regulatory News,9/5/2023 1:00,no_market,,,,,,,,,long,
62,85,ADXN,Addex ADX71149 Epilepsy Phase 2 Study Completes Recruitment of Patients,https://www.globenewswire.com/news-release/2023/11/14/2779698/0/en/Addex-ADX71149-Epilepsy-Phase-2-Study-Completes-Recruitment-of-Patients.html,European Regulatory News,11/14/2023 1:00,no_market,,,,,,,,,long,
63,97,ADXN,Addex Enters into At-The-Market ADS Offering Agreement with H.C. Wainwright & Co. LLC.,https://www.globenewswire.com/news-release/2024/01/31/2820703/0/en/Addex-Enters-into-At-The-Market-ADS-Offering-Agreement-with-H-C-Wainwright-Co-LLC.html,European Regulatory News,1/31/2024 1:00,overnight,,,,,,,,,long,
64,100,AEON,AEON Biopharma Reports Third Quarter 2023 Financial Results,https://www.globenewswire.com/news-release/2023/11/13/2779046/0/en/AEON-Biopharma-Reports-Third-Quarter-2023-Financial-Results.html,Earnings Releases and Operating Results,11/13/2023 8:15,pre_market,4.179999828,4,440.6099854,439.230011,-0.043062162,-0.003131963,-0.039930198,short,short,
65,98,ADXN,Addex Shareholders Approve All Resolutions at Extraordinary General Meeting,https://www.globenewswire.com/news-release/2023/12/20/2799005/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Extraordinary-General-Meeting.html,European Regulatory News,12/20/2023 1:00,overnight,,,,,,,,,short,
66,99,ADXN,Addex to Present at Biotech Showcase™ 2024,https://www.globenewswire.com/news-release/2024/01/05/2804455/0/en/Addex-to-Present-at-Biotech-Showcase-2024.html,European Regulatory News,1/5/2024 1:30,overnight,,,,,,,,,long,
67,86,ADXN,Addex mGlu2 NAM Cognition Program Receives €4 Million Grant,https://www.globenewswire.com/news-release/2023/09/20/2746109/0/en/Addex-mGlu2-NAM-Cognition-Program-Receives-4-Million-Grant.html,European Regulatory News,9/20/2023 1:00,overnight,,,,,,,,,long,
