id,ticker,title,link,topic,published_est,market,begin_price,end_price,index_begin_price,index_end_price,daily_return,index_return,daily_alpha,actual_action,predicted_action,confidence
20,"ACIU","AC Immune to Present Progress of Alzheimer’s Disease Programs targeting Abeta and Tau at the 15th CTAD Conference","https://www.globenewswire.com/news-release/2022/11/23/2561536/0/en/AC-Immune-to-Present-Progress-of-Alzheimer-s-Disease-Programs-targeting-Abeta-and-Tau-at-the-15th-CTAD-Conference.html","Clinical Study","2022-11-23 07:30:00","pre_market",3,3,400,400,0,-0,0,"long","short",NaN
51,"ADXN","Addex Announces Participation in the H.C. Wainwright 25th Annual Global Investment Conference","https://www.globenewswire.com/news-release/2023/09/06/2737990/0/en/Addex-Announces-Participation-in-the-H-C-Wainwright-25th-Annual-Global-Investment-Conference.html","European Regulatory News","2023-09-06 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
22,"ACIU","AC Immune to Present at the Jefferies 2023 London Healthcare Conference","https://www.globenewswire.com/news-release/2023/11/07/2774887/0/en/AC-Immune-to-Present-at-the-Jefferies-2023-London-Healthcare-Conference.html","Calendar of Events","2023-11-07 07:00:00","pre_market",3,3,436,436,-0,0,-0,"short","short",NaN
23,"ACIU","AC Immune Progress Update on Phase 2 Active Immunotherapy Clinical Pipeline for Alzheimer's and Parkinson diseases","https://www.globenewswire.com/news-release/2024/01/03/2803284/0/en/AC-Immune-Progress-Update-on-Phase-2-Active-Immunotherapy-Clinical-Pipeline-for-Alzheimer-s-and-Parkinson-diseases.html","Clinical Study","2024-01-03 08:10:00","pre_market",5,5,473,470,-0,-0,-0,"short","short",NaN
24,"ACIU","AC Immune to Regain Global Rights to Crenezumab and Semorinemab","https://www.globenewswire.com/news-release/2024/01/22/2812913/0/en/AC-Immune-to-Regain-Global-Rights-to-Crenezumab-and-Semorinemab.html","Licensing Agreements","2024-01-22 07:00:00","pre_market",4,4,482,484,0,0,-0,"short","short",NaN
25,"ACIU","AC Immune Announces Pricing of Underwritten Offering of Common Shares","https://www.globenewswire.com/news-release/2023/12/15/2797008/0/en/AC-Immune-Announces-Pricing-of-Underwritten-Offering-of-Common-Shares.html","Financing Agreements","2023-12-15 07:56:00","pre_market",4,4,472,469,-0,-0,-0,"short","short",NaN
26,"ACIU","AC Immune Strengthens Management, Appoints Madiha Derouazi as CSO and Christopher Roberts as CFO","https://www.globenewswire.com/news-release/2023/12/01/2789221/0/en/AC-Immune-Strengthens-Management-Appoints-Madiha-Derouazi-as-CSO-and-Christopher-Roberts-as-CFO.html","Management Changes","2023-12-01 07:00:00","pre_market",3,3,456,456,-0,-0,-0,"short","short",NaN
27,"ACIU","AC Immune’s Targeted Anti-pTau Active Immunotherapy for Alzheimer’s Disease Advances into Phase 2b Trial","https://www.globenewswire.com/news-release/2023/12/15/2796982/0/en/AC-Immune-s-Targeted-Anti-pTau-Active-Immunotherapy-for-Alzheimer-s-Disease-Advances-into-Phase-2b-Trial.html","Financing Agreements","2023-12-15 07:22:00","pre_market",4,4,472,469,-0,-0,-0,"short","short",NaN
37,"ADAG","Adagene Announces Interim Data Demonstrating Safety and Confirmed Clinical Responses of Anti-CTLA-4 SAFEbody® ADG126 up to 10 mg/kg with Repeat Cycles in Combination with Anti-PD-1 Therapy from Dose Escalation Portion of Phase 1b/2 Trial","https://www.globenewswire.com/news-release/2023/01/09/2585049/0/en/Adagene-Announces-Interim-Data-Demonstrating-Safety-and-Confirmed-Clinical-Responses-of-Anti-CTLA-4-SAFEbody-ADG126-up-to-10-mg-kg-with-Repeat-Cycles-in-Combination-with-Anti-PD-1-.html","Clinical Study","2023-01-09 07:00:00","pre_market",2,2,388,390,0,0,0,"long","long",NaN
38,"ADAG","Adagene Reports Six Month Financial Results for 2023 and Provides Corporate Update","https://www.globenewswire.com/news-release/2023/08/31/2735151/0/en/Adagene-Reports-Six-Month-Financial-Results-for-2023-and-Provides-Corporate-Update.html","Earnings Releases and Operating Results","2023-08-31 07:32:00","pre_market",1,1,451,452,0,0,0,"long","long",NaN
48,"ADTX","Aditxt, Inc. to Present at 8th Annual Dawson James Conference","https://www.globenewswire.com/news-release/2023/10/06/2756039/0/en/Aditxt-Inc-to-Present-at-8th-Annual-Dawson-James-Conference.html","Advisory","2023-10-06 08:00:00","pre_market",12,12,424,422,-0,-0,-0,"short","short",NaN
41,"ADPT","Adaptive Biotechnologies Highlights New Data at ASCO 2023 and EHA 2023 Underscoring the clonoSEQ® Assay’s Impact as a Standard for Minimal Residual Disease Assessment in Patients with Hematologic Cancer","https://www.globenewswire.com/news-release/2023/06/02/2681086/0/en/Adaptive-Biotechnologies-Highlights-New-Data-at-ASCO-2023-and-EHA-2023-Underscoring-the-clonoSEQ-Assay-s-Impact-as-a-Standard-for-Minimal-Residual-Disease-Assessment-in-Patients-wi.html","Clinical Study","2023-06-02 07:34:00","pre_market",7,7,422,424,0,0,0,"long","long",NaN
39,"ADAG","Adagene To Present Interim Results of Masked anti-CTLA-4 SAFEbody® ADG126 (muzastotug) in Combination with Pembrolizumab in MSS CRC at ASCO-GI Symposium","https://www.globenewswire.com/news-release/2024/01/04/2803770/0/en/Adagene-To-Present-Interim-Results-of-Masked-anti-CTLA-4-SAFEbody-ADG126-muzastotug-in-Combination-with-Pembrolizumab-in-MSS-CRC-at-ASCO-GI-Symposium.html","Health","2024-01-04 05:00:00","pre_market",2,2,469,468,0,-0,0,"long","long",NaN
42,"ADPT","Adaptive Biotechnologies Announces FDA Acceptance of Genentech’s Investigational New Drug Application for the First Neoantigen-Directed T-Cell Therapy Product in Oncology","https://www.globenewswire.com/news-release/2023/05/09/2664318/0/en/Adaptive-Biotechnologies-Announces-FDA-Acceptance-of-Genentech-s-Investigational-New-Drug-Application-for-the-First-Neoantigen-Directed-T-Cell-Therapy-Product-in-Oncology.html","Health","2023-05-09 07:30:00","pre_market",7,7,413,411,0,-0,0,"long","long",NaN
43,"ADPT","Adaptive Biotechnologies Announces New Translational Collaboration to Measure Minimal Residual Disease with clonoSEQ® Assay Across BeiGene’s Lymphoid Malignancy Pipeline","https://www.globenewswire.com/news-release/2023/11/07/2774988/0/en/Adaptive-Biotechnologies-Announces-New-Translational-Collaboration-to-Measure-Minimal-Residual-Disease-with-clonoSEQ-Assay-Across-BeiGene-s-Lymphoid-Malignancy-Pipeline.html","Clinical Study","2023-11-07 07:30:00","pre_market",5,5,436,436,-0,0,-0,"short","short",NaN
44,"ADPT","Adaptive Biotechnologies and Collaborators to Present More than 30 Abstracts Demonstrating the Actionability of clonoSEQ® MRD Testing in Blood Cancer Patient Care and Drug Development at the 65th ASH Annual Meeting","https://www.globenewswire.com/news-release/2023/12/05/2790810/0/en/Adaptive-Biotechnologies-and-Collaborators-to-Present-More-than-30-Abstracts-Demonstrating-the-Actionability-of-clonoSEQ-MRD-Testing-in-Blood-Cancer-Patient-Care-and-Drug-Developme.html","Clinical Study","2023-12-05 07:30:00","pre_market",5,5,457,455,-0,-0,-0,"short","long",NaN
45,"ADPT","Adaptive Announces Launch of Epic Integration for clonoSEQ®","https://www.globenewswire.com/news-release/2023/09/13/2742380/0/en/Adaptive-Announces-Launch-of-Epic-Integration-for-clonoSEQ.html","Product / Services Announcement","2023-09-13 07:30:00","pre_market",7,7,446,446,0,0,0,"long","long",NaN
40,"ADAG","Adagene Announces Progress and Expansion of Clinical Collaboration Program for Masked, Anti-CTLA-4 SAFEbody® ADG126 (muzastotug) in Combination with KEYTRUDA® (pembrolizumab) to Demonstrate Further Efficacy in Patients with Metastatic Microsatellite-stable (MSS) Colorectal Cancer (CRC)","https://www.globenewswire.com/news-release/2024/02/09/2826677/0/en/Adagene-Announces-Progress-and-Expansion-of-Clinical-Collaboration-Program-for-Masked-Anti-CTLA-4-SAFEbody-ADG126-muzastotug-in-Combination-with-KEYTRUDA-pembrolizumab-to-Demonstra.html","Product / Services Announcement","2024-02-09 06:00:00","pre_market",4,3,498,499,-0,0,-0,"short","short",NaN
46,"ADPT","Adaptive Biotechnologies to Participate in the 2023 RBC Capital Markets Global Healthcare Conference","https://www.globenewswire.com/news-release/2023/05/12/2667757/0/en/Adaptive-Biotechnologies-to-Participate-in-the-2023-RBC-Capital-Markets-Global-Healthcare-Conference.html","Calendar of Events","2023-05-12 08:00:00","pre_market",7,7,412,413,0,0,-0,"short","short",NaN
47,"ADPT","Adaptive Biotechnologies Announces Translational Collaboration with Takeda to Measure Minimal Residual Disease with Its clonoSEQ® Assay Across Its Hematologic Malignancy Pipeline","https://www.globenewswire.com/news-release/2023/04/12/2645230/0/en/Adaptive-Biotechnologies-Announces-Translational-Collaboration-with-Takeda-to-Measure-Minimal-Residual-Disease-with-Its-clonoSEQ-Assay-Across-Its-Hematologic-Malignancy-Pipeline.html","Partnerships","2023-04-12 07:30:00","pre_market",8,8,410,412,0,0,0,"long","long",NaN
54,"ADXN","Addex GABAB Positive Allosteric Modulator Program to Receive Additional CHF2.7 Million from Indivior in Extended Substance Use Disorder Research Collaboration","https://www.globenewswire.com/news-release/2023/08/03/2717597/0/en/Addex-GABAB-Positive-Allosteric-Modulator-Program-to-Receive-Additional-CHF2-7-Million-from-Indivior-in-Extended-Substance-Use-Disorder-Research-Collaboration.html","European Regulatory News","2023-08-03 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
74,"ADXN","Addex Increases Issued Share Capital to Create Treasury Shares","https://www.globenewswire.com/news-release/2023/06/15/2688579/0/en/Addex-Increases-Issued-Share-Capital-to-Create-Treasury-Shares.html","European Regulatory News","2023-06-15 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
66,"ADXN","Addex’s Dipraglurant Development in Post-Stroke Recovery Supported by Data Published in Brain","https://www.globenewswire.com/news-release/2023/09/04/2736453/0/en/Addex-s-Dipraglurant-Development-in-Post-Stroke-Recovery-Supported-by-Data-Published-in-Brain.html","European Regulatory News","2023-09-04 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
73,"ADXN","Addex ADX71149 Epilepsy Phase 2 Study Completes Recruitment of Patients","https://www.globenewswire.com/news-release/2023/11/14/2779698/0/en/Addex-ADX71149-Epilepsy-Phase-2-Study-Completes-Recruitment-of-Patients.html","European Regulatory News","2023-11-14 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
53,"ADXN","Addex Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency","https://www.globenewswire.com/news-release/2023/05/18/2671600/0/en/Addex-Receives-Nasdaq-Notification-Regarding-Minimum-Bid-Price-Deficiency.html","European Regulatory News","2023-05-18 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
56,"ADXN","Addex Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency","https://www.globenewswire.com/news-release/2023/05/18/2671600/0/en/Addex-Receives-Nasdaq-Notification-Regarding-Minimum-Bid-Price-Deficiency.html","European Regulatory News","2023-05-18 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
72,"ADXN","Addex Regains Nasdaq Listing Compliance","https://www.globenewswire.com/news-release/2023/11/08/2775790/0/en/Addex-Regains-Nasdaq-Listing-Compliance.html","European Regulatory News","2023-11-08 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
59,"ADXN","Addex Convenes Annual General Meeting 2023","https://www.globenewswire.com/news-release/2023/05/05/2662258/0/en/Addex-Convenes-Annual-General-Meeting-2023.html","European Regulatory News","2023-05-05 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"short",NaN
62,"ADXN","Addex Announces ADX71149 Phase 2 Epilepsy Clinical Study’s Independent Interim Review Committee Recommends Continuing Study","https://www.globenewswire.com/news-release/2023/05/10/2665174/0/en/Addex-Announces-ADX71149-Phase-2-Epilepsy-Clinical-Study-s-Independent-Interim-Review-Committee-Recommends-Continuing-Study.html","European Regulatory News","2023-05-10 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
63,"ADXN","Addex Reports Full Year 2022 Financial Results and Provides Corporate Update","https://www.globenewswire.com/news-release/2023/03/30/2637303/0/en/Addex-Reports-Full-Year-2022-Financial-Results-and-Provides-Corporate-Update.html","European Regulatory News","2023-03-30 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
64,"ADXN","Addex Completes $5.0 Million Equity Financing","https://www.globenewswire.com/news-release/2023/04/05/2641327/0/en/Addex-Completes-5-0-Million-Equity-Financing.html","European Regulatory News","2023-04-05 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
67,"ADXN","Addex mGlu2PAM Demonstrates Potential in Substance Use Disorder","https://www.globenewswire.com/news-release/2023/07/24/2709220/0/en/Addex-mGlu2PAM-Demonstrates-Potential-in-Substance-Use-Disorder.html","European Regulatory News","2023-07-24 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
60,"ADXN","Addex Announces Participation in the Bio-Europe 2023 Conference","https://www.globenewswire.com/news-release/2023/11/02/2771873/0/en/Addex-Announces-Participation-in-the-Bio-Europe-2023-Conference.html","European Regulatory News","2023-11-02 02:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
57,"ADXN","Addex Shareholders Approve All Resolutions at Annual General Meeting","https://www.globenewswire.com/news-release/2023/06/01/2679938/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Annual-General-Meeting.html","European Regulatory News","2023-06-01 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"short",NaN
68,"ADXN","Addex Shareholders Approve All Resolutions at Annual General Meeting","https://www.globenewswire.com/news-release/2023/06/01/2679938/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Annual-General-Meeting.html","European Regulatory News","2023-06-01 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"short",NaN
71,"ADXN","Addex Reports Q3 2023 Financial Results and Provides Corporate Update","https://www.globenewswire.com/news-release/2023/11/29/2787467/0/en/Addex-Reports-Q3-2023-Financial-Results-and-Provides-Corporate-Update.html","European Regulatory News","2023-11-29 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
70,"ADXN","Addex Reports 2023 Half Year and Second Quarter Financial Results and Provides Corporate Update","https://www.globenewswire.com/news-release/2023/08/10/2722288/0/en/Addex-Reports-2023-Half-Year-and-Second-Quarter-Financial-Results-and-Provides-Corporate-Update.html","European Regulatory News","2023-08-10 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
225,"ANAB","AnaptysBio Announces Stock Repurchase Plan","https://www.globenewswire.com/news-release/2023/01/13/2588623/0/en/AnaptysBio-Announces-Stock-Repurchase-Plan.html","Stock Market News","2023-01-13 09:00:00","pre_market",23,24,397,394,0,-0,0,"long","short",NaN
65,"ADXN","Addex ADX71149 Phase 2 Epilepsy Study Expected to Readout Data in  Q2 2024","https://www.globenewswire.com/news-release/2023/09/05/2736936/0/en/Addex-ADX71149-Phase-2-Epilepsy-Study-Expected-to-Readout-Data-in-Q2-2024.html","European Regulatory News","2023-09-05 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
85,"ADXN","Addex ADX71149 Epilepsy Phase 2 Study Completes Recruitment of Patients","https://www.globenewswire.com/news-release/2023/11/14/2779698/0/en/Addex-ADX71149-Epilepsy-Phase-2-Study-Completes-Recruitment-of-Patients.html","European Regulatory News","2023-11-14 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
97,"ADXN","Addex Enters into At-The-Market ADS Offering Agreement with H.C. Wainwright & Co. LLC.","https://www.globenewswire.com/news-release/2024/01/31/2820703/0/en/Addex-Enters-into-At-The-Market-ADS-Offering-Agreement-with-H-C-Wainwright-Co-LLC.html","European Regulatory News","2024-01-31 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
100,"AEON","AEON Biopharma Reports Third Quarter 2023 Financial Results","https://www.globenewswire.com/news-release/2023/11/13/2779046/0/en/AEON-Biopharma-Reports-Third-Quarter-2023-Financial-Results.html","Earnings Releases and Operating Results","2023-11-13 08:15:00","pre_market",4,4,441,439,-0,-0,-0,"short","short",NaN
98,"ADXN","Addex Shareholders Approve All Resolutions at Extraordinary General Meeting","https://www.globenewswire.com/news-release/2023/12/20/2799005/0/en/Addex-Shareholders-Approve-All-Resolutions-at-Extraordinary-General-Meeting.html","European Regulatory News","2023-12-20 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"short",NaN
99,"ADXN","Addex to Present at Biotech Showcase™ 2024","https://www.globenewswire.com/news-release/2024/01/05/2804455/0/en/Addex-to-Present-at-Biotech-Showcase-2024.html","European Regulatory News","2024-01-05 01:30:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
86,"ADXN","Addex mGlu2 NAM Cognition Program Receives €4 Million Grant","https://www.globenewswire.com/news-release/2023/09/20/2746109/0/en/Addex-mGlu2-NAM-Cognition-Program-Receives-4-Million-Grant.html","European Regulatory News","2023-09-20 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
92,"ADXN","Addex mGlu2 NAM Cognition Program Receives €4 Million Grant","https://www.globenewswire.com/news-release/2023/09/20/2746109/0/en/Addex-mGlu2-NAM-Cognition-Program-Receives-4-Million-Grant.html","European Regulatory News","2023-09-20 01:00:00","no_market",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
87,"ADXN","Addex mGlu2PAM Demonstrates Potential in Substance Use Disorder","https://www.globenewswire.com/news-release/2023/07/24/2709220/0/en/Addex-mGlu2PAM-Demonstrates-Potential-in-Substance-Use-Disorder.html","European Regulatory News","2023-07-24 01:00:00","overnight",(null),(null),(null),(null),(null),(null),(null),(null),"long",NaN
